id,name,current_price,stock
1580,clearly,$609.13,3
19264,community,$54.45,4
4101,late,$338.16,0
41872,remember,"$3,634.52",4
61339,billion,"$4,233.47",2
72646,couple,"$83,755.55",9
70315,debate,"$7,761.58",3
63005,attack,$990.68,5
22224,statement,$713.68,0
75449,billion,$23.20,4
54980,issue,"$3,547.18",8
55122,order,$47.12,0
67833,against,$91.80,6
12079,land,"$9,669.70",8
67834,particular,$6.49,8
29519,under,$444.47,5
32620,hear,$2.82,3
28483,staff,$534.91,6
79995,which,$85.29,2
74149,laugh,$58.65,0
4638,might,$22.96,9
5177,machine,"$59,020.80",3
42931,yeah,$8.41,2
22829,eat,"$1,335.90",0
49656,third,"$8,867.24",4
45531,material,$6.10,1
10497,result,"$21,586.38",1
48092,school,$5.89,0
17095,government,$76.69,5
8568,feeling,$51.02,7
59109,lay,"$67,352.36",0
77960,with,$821.97,9
81928,our,$8.59,6
4926,light,"$42,136.50",7
59938,build,$2.69,6
37512,student,"$7,589.00",2
18236,research,$6.87,7
70093,imagine,"$5,935.23",4
74135,fight,"$6,672.70",6
47760,single,$26.78,8
77203,whether,$13.51,1
48933,expert,"$1,495.81",1
7438,be,$7.38,8
49933,sea,"$34,483.78",6
12746,goal,$53.43,1
36380,check,"$20,173.48",9
3253,against,"$9,772.80",1
6331,senior,$6.19,2
76348,money,$7.85,6
79144,support,"$7,946.55",9
66975,free,"$2,888.83",5
54268,hotel,"$63,411.48",1
69749,side,$3.87,4
81026,full,$9.87,2
3161,weight,"$8,779.87",5
82958,us,$8.13,6
42181,establish,"$8,206.28",1
47286,there,"$89,934.48",8
71356,vote,"$35,233.15",6
50760,chance,"$21,492.78",8
36260,store,"$1,325.17",4
67147,she,"$83,099.86",6
47011,save,$250.00,6
18126,guess,$1.14,6
48615,notice,$551.55,9
47738,try,"$3,231.35",7
79968,product,$3.17,7
30007,system,"$40,759.23",1
22353,especially,$8.67,3
26314,hour,"$35,793.92",2
64458,station,"$54,764.29",1
46530,hope,"$2,711.35",1
76092,season,$564.45,1
85059,everybody,$7.81,7
14258,rich,$0.34,2
71030,information,"$2,973.41",2
53255,against,"$18,682.28",6
25095,seek,$74.10,1
17725,type,"$5,817.42",2
35180,mission,$63.79,9
18196,college,"$13,191.80",9
50675,instead,$66.91,7
59440,far,$308.05,1
79413,subject,$9.82,2
81580,health,$4.82,2
12296,mother,$43.50,8
53492,five,"$66,795.08",1
63141,their,$939.49,3
49648,can,$1.25,6
21000,professor,$601.70,3
83836,government,$9.05,9
27643,page,$744.08,6
63735,third,$13.69,1
59172,produce,$38.60,1
59868,certainly,"$7,656.12",7
1965,item,$1.22,0
18911,but,$2.29,1
65943,another,"$6,125.34",0
47518,yard,"$5,263.05",8
43031,beautiful,"$3,368.12",6
50479,notice,"$79,007.66",9
37205,parent,$34.79,2
37789,we,$917.38,7
24476,however,"$99,484.44",0
32281,fish,$6.56,0
6169,wide,"$2,475.20",7
25438,table,$573.25,1
63895,shoulder,"$26,997.86",4
66036,mean,"$2,108.65",8
72748,listen,$0.88,5
6889,difference,$3.93,5
36878,moment,$203.13,3
49625,since,"$87,981.44",3
13569,ago,$3.78,5
25665,reveal,"$80,279.69",4
46348,no,$23.30,8
55027,official,$791.36,1
49213,point,"$90,878.62",3
38774,must,$11.38,6
14002,range,$47.20,8
55221,put,$0.35,5
14667,property,"$3,439.23",5
80505,four,$377.73,3
44610,food,$9.80,7
10592,increase,$641.18,4
72740,every,$59.28,1
39400,soldier,$7.62,9
66058,available,$5.60,8
20024,official,"$6,448.19",8
12852,note,"$98,582.41",7
73663,mouth,"$2,741.77",0
15563,value,"$62,593.36",1
23203,research,$49.94,7
27046,cultural,$269.19,7
74692,card,"$30,132.40",1
77296,forget,$7.54,9
56692,many,"$8,454.40",3
26685,thus,"$57,330.36",8
14737,hotel,"$66,273.17",4
26778,likely,$30.65,0
26631,summer,$758.45,1
26183,friend,"$5,912.23",3
80081,shoulder,"$26,232.06",3
6376,section,"$9,918.94",4
3020,then,$16.26,3
4476,bring,"$2,449.98",7
15336,hard,$314.34,6
85172,agent,$61.76,7
9964,reduce,$9.55,7
27075,open,$1.87,0
42447,want,$6.58,4
52410,agree,$131.30,9
44781,tax,$47.12,1
959,seat,$241.48,2
50713,might,$14.67,3
72278,brother,"$6,483.72",0
1633,top,$17.66,4
51505,audience,"$15,227.76",0
866,doctor,$0.02,1
69167,ever,$5.56,4
16363,already,$598.68,8
2467,under,$708.33,5
81872,we,"$85,789.46",2
43625,south,"$3,188.57",0
9872,toward,$7.37,6
41015,ago,$9.83,6
23256,own,$411.05,2
25928,current,$994.78,1
20417,serious,"$22,499.44",4
47682,suggest,"$39,637.97",9
14701,begin,$5.57,4
1273,guess,$9.66,7
55177,general,"$21,105.83",4
72275,policy,$4.32,4
18974,popular,$82.81,8
3931,fine,"$67,428.02",5
33397,eight,$99.07,7
1382,treatment,$6.96,3
38622,room,"$5,858.52",7
29497,movement,"$7,869.75",6
60350,its,"$10,628.47",7
67979,officer,"$9,285.92",0
64243,teach,$317.15,7
57191,situation,$726.62,5
26429,behind,$0.85,4
43665,appear,$2.21,9
65496,across,$409.48,7
19825,avoid,$9.00,9
76920,task,$962.52,9
13982,manager,$7.19,9
48958,season,"$97,571.57",4
21243,perhaps,$131.09,8
28519,yes,$17.45,6
35612,again,$71.71,9
24691,part,"$4,678.07",7
30792,toward,$595.40,8
22249,my,"$5,342.75",8
25537,song,$247.67,7
50544,ahead,"$37,012.98",0
32207,take,$225.27,1
59966,tell,"$2,872.89",5
9482,seem,"$83,190.59",0
79040,brother,"$6,739.35",5
5226,seek,$93.90,0
23894,dinner,$753.70,7
57610,study,$620.30,8
15905,ability,$5.73,9
456,old,$1.14,9
30663,also,$84.10,9
41545,manage,$9.19,7
47349,factor,$19.47,1
17621,free,$818.40,8
79637,wide,"$19,864.64",7
23175,not,$0.01,1
25842,start,"$70,770.35",5
21887,production,$4.71,0
33500,bag,$0.96,9
37035,think,$150.56,8
53099,road,"$75,762.10",2
81131,message,$901.34,1
42572,particular,$74.96,5
54770,treatment,$4.27,2
18733,thought,"$85,332.32",2
3389,determine,$80.45,4
42219,brother,$6.36,9
46015,past,"$6,415.91",8
7049,house,"$79,898.11",8
79141,pretty,$22.69,4
46141,detail,$392.65,4
9377,forget,$69.89,6
15161,no,$240.83,2
65335,source,$13.82,5
3745,human,"$1,586.70",9
19245,artist,$22.99,3
16827,social,"$41,441.02",4
29830,health,$405.14,4
81264,sometimes,"$4,364.94",9
69144,western,"$78,614.91",5
62835,world,$65.52,3
22232,phone,$846.30,3
74792,interest,$642.93,6
24479,become,$58.20,7
12552,remember,$5.85,7
29081,race,$3.65,3
34907,artist,$805.90,6
35266,into,$1.44,5
5133,scientist,$39.80,1
84351,over,$9.12,7
760,quite,$46.65,9
41938,treatment,"$57,299.84",9
55365,network,$553.11,4
32348,physical,$0.56,9
30135,mind,$449.32,0
64818,property,"$3,017.36",9
79887,style,$61.49,7
10385,future,"$48,683.84",9
68447,rule,$31.18,7
40764,whether,$437.49,9
84684,require,$6.91,8
15749,series,"$8,206.38",6
3277,need,$2.61,6
65850,market,$96.61,6
10222,tend,"$7,650.79",9
31255,story,$2.95,0
54757,gun,$14.38,4
3520,test,"$3,245.11",0
70205,pull,$71.24,8
29741,state,"$77,815.41",2
21162,sort,$417.87,8
40672,physical,"$12,158.52",6
24239,ball,$992.67,1
9479,key,"$44,303.85",9
81095,far,$255.86,0
14801,cause,"$71,040.58",1
20127,word,$28.56,4
56507,professional,"$3,167.81",7
79674,up,$661.36,2
38868,say,$799.59,9
27178,answer,$417.21,1
45392,any,"$30,311.97",7
36753,too,$45.81,0
10903,art,"$40,507.28",6
20241,company,$0.30,4
22573,face,$36.62,9
62581,above,"$23,378.44",0
84060,toward,$17.45,8
