id,customer_id,price_paid,product_id
0,9608,$532.20,50278
1,70619,$422.90,13832
2,35091,$130.83,17548
3,48301,"$61,020.14",80178
4,23814,$72.94,21840
5,53168,"$12,673.35",9663
6,47933,"$30,852.67",31272
7,21683,"$14,759.58",52524
8,24484,"$53,946.49",42120
9,53168,"$2,159.85",70657
10,46511,$839.13,42885
11,41506,$119.83,73957
12,50428,"$7,465.24",37764
13,44968,$752.73,63610
14,67928,$630.44,82002
15,42745,$960.99,71017
16,12388,$9.43,26911
17,13332,$3.64,69932
18,48728,$3.23,75493
19,47304,$7.72,72665
20,51719,$666.57,53187
21,28168,"$5,649.52",16719
22,10405,$6.44,48270
23,3081,$888.75,25486
24,27428,$248.76,12271
25,47345,"$6,636.72",13832
26,47933,$1.87,19362
27,10405,$13.92,14645
28,46967,"$4,369.56",4601
29,49203,$59.18,63983
30,2127,"$50,724.15",11578
31,3081,"$19,676.02",86951
32,49644,$26.56,40333
33,32203,$588.67,11256
34,36019,"$27,322.19",72506
35,24042,$0.49,63823
36,42745,$52.41,63983
37,44968,$27.04,63610
38,18587,$4.38,71705
39,17823,"$47,608.76",43169
40,23912,$875.47,27086
41,48301,$1.80,59287
42,33114,"$54,240.45",19362
43,44502,"$52,221.07",85582
44,3586,$9.07,79555
45,35955,$385.61,63983
46,14990,$416.07,41461
47,15522,"$6,884.85",5258
48,64231,$90.62,50278
49,47345,"$90,275.12",48153
50,15199,$3.24,10127
51,48336,$267.76,14834
52,23226,$0.62,74947
53,47345,"$94,021.16",14202
54,61035,$0.80,18747
55,13332,"$6,370.14",68452
56,45075,$27.78,71017
57,1030,$2.49,48607
58,14990,$8.47,45024
59,50441,$8.02,28691
60,23850,$4.98,46154
61,63897,$7.58,71017
62,31588,"$7,803.27",69793
63,5129,"$39,269.01",71808
64,51719,$23.37,32807
65,12401,$9.76,28691
66,6290,"$1,181.92",1996
67,52502,$70.24,26911
68,17108,$5.15,48687
69,44717,$738.93,79764
70,19358,$88.32,87253
71,21721,"$46,302.29",34074
72,55468,$6.00,53084
73,50876,"$33,878.19",72987
74,24243,$43.13,17859
75,35091,$335.51,50784
76,61035,$393.86,72506
77,23816,$711.17,56148
78,34507,"$8,104.75",30231
79,26399,$566.75,55759
80,50441,"$2,327.87",83161
81,6006,$6.07,20433
82,6006,$194.76,27086
83,55829,$5.52,23610
84,28343,$50.54,20890
85,14942,$53.66,47315
86,53019,$8.01,26871
87,31650,$1.58,49788
88,41506,$764.58,28095
89,24243,"$1,014.82",9052
90,6291,$9.05,70316
91,56165,$6.21,66471
92,45075,"$56,084.54",22035
93,56165,$2.06,44874
94,52502,"$8,647.02",43170
95,34303,$39.88,58018
96,9370,$3.68,51814
97,47345,$64.15,42141
98,17108,"$5,435.64",84785
99,24824,$1.13,75493
100,8755,$2.51,51674
101,38241,"$52,328.57",74002
102,61659,$0.70,70713
103,59323,"$4,764.12",18747
104,65248,$884.76,13352
105,47933,"$51,449.76",52408
106,15913,$639.17,14202
107,19358,$785.65,74758
108,66850,$4.48,37548
109,9211,"$51,189.47",25968
110,63897,"$37,078.32",37764
111,53019,"$86,358.26",23902
112,48301,$549.34,44874
113,72081,$3.10,6205
114,65580,$79.97,11969
115,28168,"$80,426.37",27695
116,62621,$3.55,36527
117,18587,"$51,265.24",73218
118,31189,"$8,014.79",87729
119,49203,"$11,359.86",17548
120,58253,"$2,547.98",38959
121,23850,$3.06,70625
122,9637,$123.73,82147
123,6291,"$8,143.41",13507
124,15931,$961.47,25611
125,32224,$4.33,71037
126,21683,"$2,095.98",85176
127,9637,"$66,514.12",979
128,30461,"$2,678.76",60512
129,27428,"$64,446.50",23095
130,51719,$0.52,3427
131,10540,"$77,461.75",25889
132,63839,$237.04,52790
133,40777,$517.02,21840
134,48972,$8.98,3985
135,15199,"$3,380.20",35393
136,57624,"$1,613.68",62950
137,50920,"$13,121.13",77741
138,50920,$54.89,61648
139,72655,"$60,351.22",33506
140,57624,"$95,333.09",62950
141,61659,$5.89,46056
142,23226,$3.72,11783
143,48227,$33.15,33506
144,35955,$252.76,26911
145,15931,$322.15,54080
146,61659,"$70,120.22",15584
147,8012,$1.16,31535
148,70248,$562.31,82630
149,4515,$46.76,79576
150,33868,$122.98,85402
151,12401,$702.96,65744
152,32224,$2.64,85554
153,40798,$322.82,11969
154,34380,$47.51,54876
155,42745,$41.33,22583
156,44502,"$68,176.40",32919
157,5984,$4.54,75541
158,65580,$603.05,20956
159,3586,"$4,918.17",59650
160,12388,"$91,978.75",56110
161,15931,$7.50,75689
162,70619,$83.47,50278
163,15199,$469.76,79635
164,31588,$86.33,16331
165,27991,"$67,336.66",70657
166,60373,$82.89,87364
167,30272,"$21,905.35",75689
168,69092,$8.24,5193
169,53168,"$4,028.13",30973
170,30671,$231.70,27447
171,33868,$9.49,72991
172,71462,$2.02,14331
173,53019,$6.42,3423
174,44717,$22.38,76957
175,50876,$9.57,14704
176,33575,"$54,496.67",49029
177,50920,"$42,721.63",33264
178,14976,$362.08,43817
179,66202,$50.20,40406
180,58253,$210.02,67999
181,66202,$71.47,59868
182,17575,$3.62,80943
183,35955,"$44,937.44",54080
184,17108,$2.42,59144
185,21721,"$28,673.39",81611
186,10477,"$5,448.92",15640
187,48972,$676.76,35046
188,9211,"$27,642.81",11735
189,61422,"$9,858.14",29847
190,3498,"$2,537.15",43168
191,20056,$6.70,34074
192,14072,"$4,976.48",28095
193,48365,$93.52,53187
194,23816,"$88,378.42",28378
195,15931,"$64,440.97",23071
196,6291,$86.28,84755
197,3261,"$88,869.64",59025
198,12401,$9.47,74758
199,34507,$792.86,83763
200,9370,$49.51,50784
201,34380,"$6,500.08",41180
202,21284,"$22,989.31",87618
203,59323,$928.32,82002
204,21196,$113.39,26341
205,27749,$91.85,23095
206,35955,$2.15,66867
207,69151,"$8,944.25",15494
208,48921,$69.08,36324
209,47304,"$8,756.13",8252
210,44413,$3.60,63610
211,46511,$478.91,3939
212,3261,$519.46,72234
213,29148,$356.10,17770
214,6291,"$70,738.78",33615
215,15522,"$4,267.10",73218
216,70248,$6.11,59025
217,33575,"$53,976.13",71037
218,31588,"$52,843.58",87206
219,28168,$2.28,51429
220,66850,$96.52,82328
221,29833,$2.30,76199
222,40777,"$63,465.16",22009
223,48921,$8.80,63435
224,21284,"$16,234.18",63485
225,40798,$193.05,70316
226,32203,$1.56,26911
227,23850,$857.26,43169
228,30461,"$7,660.51",35469
229,26441,"$6,801.63",82829
230,60865,"$7,327.21",11536
231,13332,$55.67,17770
232,28343,$4.74,71037
233,3892,$25.39,69063
234,66298,$33.28,35164
235,15931,$55.04,28233
236,14942,"$9,707.13",8141
237,30671,$0.76,5715
238,50428,$14.35,4601
239,8755,$0.95,28378
240,48365,$491.26,8012
241,50920,$990.48,30786
242,61422,"$4,691.84",79635
243,2386,$507.72,6205
244,14976,$372.44,46279
245,71462,$447.36,88160
246,68031,$9.88,11735
247,23226,$28.43,35164
248,6291,"$14,957.35",50772
249,72655,$676.92,75985
250,63062,"$89,951.58",38959
251,34463,$7.54,35393
252,63897,$841.02,83161
253,40941,$5.59,64394
254,3892,$462.75,24774
255,21721,$15.12,43520
256,44413,"$8,507.95",13188
257,63839,$29.45,38959
258,23816,$9.84,1752
259,46967,"$2,103.59",58181
260,22431,"$7,641.38",66599
261,17108,$163.84,8593
262,22259,$7.60,74758
263,40941,$7.55,3423
264,27749,$69.82,33529
265,32203,$790.45,12961
266,34507,$6.27,70561
267,34380,$998.18,62177
268,29833,"$52,328.70",66599
269,4515,$610.25,4902
270,70248,$51.72,47510
271,23226,"$8,574.76",43313
272,64006,$7.40,86830
273,48616,$5.74,29641
274,48227,$44.63,20419
275,22679,$315.54,48005
276,38724,$2.44,4576
277,33575,"$64,077.06",72234
278,48921,$4.16,60406
279,10143,"$1,573.27",23798
280,31650,$13.92,57025
281,3797,"$88,427.37",61015
282,8755,"$99,032.83",87183
283,48972,$9.40,40418
284,26441,"$9,215.30",75783
285,57624,$31.23,69725
286,45254,$855.74,59067
287,40777,"$27,318.21",27579
288,10477,$0.38,59688
289,47304,"$98,711.41",24774
290,10477,"$53,526.15",69793
291,24484,"$34,637.72",76529
292,12401,"$1,281.31",66785
293,21196,$48.82,3368
294,69092,"$48,480.10",25830
295,12388,$54.03,15640
296,46967,"$45,391.87",17267
297,15522,"$5,536.68",67999
298,71462,"$7,115.57",85582
299,40777,$213.88,85582
300,72942,"$1,479.54",36324
301,1899,"$12,976.24",60101
302,48365,$81.44,71808
303,47933,$90.52,79289
304,64006,$38.12,23902
305,45075,$988.15,81611
306,23850,"$3,072.16",8523
307,24243,$20.79,36527
308,21284,"$6,173.53",54876
309,9637,$43.55,87414
310,41233,$2.67,60632
311,17068,$217.98,44170
312,34380,$16.63,6314
313,42745,"$96,004.39",87618
314,8867,$31.48,22035
315,45075,"$17,016.73",85176
316,17823,"$2,765.80",8523
317,45254,$6.81,39789
318,3797,$978.82,62339
319,36019,$768.42,52081
320,34303,"$92,591.90",6264
321,56165,"$7,795.05",60101
322,9211,"$76,201.36",76529
323,23816,$466.58,69725
324,12576,$1.93,45249
325,23816,$467.43,12086
326,52339,"$74,726.24",42796
327,13332,"$10,140.23",5513
328,47186,"$6,856.19",52849
329,34470,$189.10,72016
330,66850,$1.60,12271
331,27813,$804.74,55160
332,63211,"$7,365.80",38408
333,72081,"$16,078.08",20433
334,68031,"$3,605.70",68452
335,52502,"$9,472.07",68562
336,7086,"$95,142.94",26021
337,71462,$50.59,44874
338,28168,$461.27,14202
339,6291,$0.18,87362
340,9637,"$7,608.03",25889
341,34473,$74.41,37764
342,8867,$6.23,43313
343,22679,"$62,693.23",38047
344,34507,$0.24,76516
345,5984,"$2,436.63",87362
346,22431,$61.95,59067
347,3081,"$2,607.99",52317
348,12480,"$28,570.47",11130
349,15199,$1.66,72991
350,35091,$61.38,79764
351,34486,"$6,558.17",82002
352,22431,$384.96,77105
353,10143,$633.57,47063
354,65580,$28.72,11735
355,52744,$16.25,45654
356,10540,$4.67,69725
357,63839,"$22,412.62",13507
358,41233,$1.36,20981
359,34470,$751.38,52524
360,8867,$34.89,32807
361,64231,$8.01,47109
362,50876,$989.63,64729
363,35091,"$26,044.93",29386
364,48301,"$77,394.47",46338
365,60373,"$34,251.70",88229
366,15199,$5.04,1665
367,72655,$890.75,2532
368,10540,"$4,422.34",48153
369,33114,"$3,580.21",81231
370,70619,"$5,341.22",71893
371,50441,"$45,637.56",3985
372,17108,$1.49,23071
373,19389,"$11,651.71",6264
374,66347,"$5,079.79",14461
375,2127,$96.97,20187
376,46967,$37.27,9535
377,71641,"$71,090.34",40418
378,52339,$949.26,85716
379,14072,$29.17,72032
380,23814,"$8,659.87",60101
381,15522,$182.04,28708
382,23912,"$77,663.30",43330
383,36962,$1.57,73957
384,71287,$289.42,9624
385,27991,"$5,678.18",28691
386,14095,"$1,085.14",32224
387,7086,$9.21,70461
388,30461,"$3,891.81",15640
389,24243,$81.20,12483
390,22679,"$49,548.22",4902
391,52339,"$66,714.46",21553
392,23816,$555.76,30035
393,47699,$3.94,45867
394,30461,"$37,615.88",979
395,37304,"$27,524.35",60101
396,2127,$2.78,63823
397,35955,"$64,324.54",9535
398,23816,$878.71,46279
399,36019,"$5,514.30",87618
400,5984,$59.00,86060
401,66298,$3.07,87362
402,9370,$213.50,72234
403,26441,$3.60,27695
404,15913,$852.03,14863
405,3498,$67.08,76146
406,34652,$0.33,31943
407,10540,$5.03,32802
408,38241,"$4,810.25",84432
409,3081,$228.00,72033
410,48301,"$13,704.69",58721
411,44554,$5.43,85960
412,32224,"$2,650.54",20419
413,40941,"$6,028.58",85378
414,23850,$838.67,52408
415,23816,"$7,592.14",43169
416,2127,$3.01,74456
417,67928,"$5,147.79",42141
418,66298,"$7,073.90",3939
419,40777,"$99,115.29",10127
420,50876,$7.89,67999
421,62621,$29.55,43168
422,31650,$8.57,77394
423,27813,"$3,358.35",42120
424,30461,"$9,538.47",76957
425,14095,$948.98,3368
426,21683,"$3,177.34",50772
427,32224,$98.82,51642
428,2127,$544.42,44227
429,24042,"$57,934.35",17859
430,12406,$1.52,7325
431,70248,$974.56,85960
432,63839,$5.51,58018
433,31588,$35.73,66785
434,47699,$37.43,69327
435,34303,"$8,321.70",59025
436,38724,$54.89,18747
437,10540,"$89,077.65",43168
438,9637,"$5,785.79",71037
439,15522,"$62,523.17",66599
440,71641,$9.86,38959
441,71287,$3.90,28095
442,39030,$107.05,88160
443,45075,"$50,885.73",13188
444,72655,"$5,049.20",57685
445,66202,"$82,980.90",50784
446,13332,"$9,258.79",20890
447,33575,"$8,254.42",6264
448,70068,"$5,931.89",47510
449,71462,$3.33,26341
450,34473,$35.75,14331
451,30671,"$2,302.18",87729
452,66202,"$62,587.64",81286
453,70248,"$10,482.09",63823
454,65248,$8.27,33529
455,63897,"$25,036.09",16840
456,14942,"$10,499.13",84929
457,38724,$4.24,81320
458,33114,"$3,750.26",40990
459,33868,"$60,311.36",86688
460,27428,"$7,400.69",31535
461,61035,"$1,465.55",26126
462,48728,$8.51,57161
463,5757,$35.43,74456
464,66850,$7.41,25830
465,23816,$2.98,23071
466,28168,$21.95,17770
467,33114,"$1,047.39",57853
468,9370,"$3,103.47",80250
469,48921,$146.96,36279
470,26441,"$45,634.33",33529
471,27428,$45.53,36324
472,72081,"$26,605.58",28095
473,64006,$21.35,26963
474,48336,$595.52,63610
475,10540,$6.00,53153
476,72081,$8.70,18747
477,3586,$6.37,76941
478,10405,"$9,159.77",10708
479,46967,$9.73,14834
480,50441,$7.96,63565
481,62124,$0.65,82032
482,45254,$10.05,4902
483,26441,"$57,138.33",76957
484,1030,$34.72,79289
485,61035,"$79,659.65",66692
486,41233,"$86,052.13",66867
487,19389,$419.89,80250
488,65580,"$65,585.63",49082
489,72942,"$8,040.36",72987
490,29148,"$98,597.27",17267
491,47699,$73.42,59144
492,72655,"$14,394.44",49082
493,3261,$603.02,80943
494,3586,$640.97,33264
495,68243,$1.56,50772
496,61422,$44.74,8141
497,63211,$9.59,74690
498,57848,"$71,097.31",9384
499,5757,"$5,947.58",543
500,71462,$4.42,10127
501,49644,$465.33,42906
502,45075,$6.06,34062
503,12401,$90.93,42699
504,9608,$24.64,74063
505,58809,"$40,890.84",5687
506,38241,$3.45,46592
507,52339,$87.46,52408
508,23814,$64.20,10127
509,18587,$0.44,55759
510,7086,"$15,432.00",71037
511,3498,$919.10,73957
512,61422,"$58,261.80",40834
513,66347,$547.78,64362
514,24042,$6.51,23300
515,9211,"$5,507.09",71415
516,9608,$35.39,87119
517,50920,$658.76,8523
518,44502,"$98,467.42",20439
519,48728,$669.27,20187
520,65248,$24.30,63565
521,6291,"$40,574.54",82829
522,50428,"$80,568.74",77509
523,41506,$83.85,49029
524,53168,$9.54,40406
525,12406,$67.22,2472
526,66850,$1.22,75493
527,40777,"$39,316.53",70047
528,17068,$793.58,57025
529,28360,"$4,263.92",45654
530,70248,"$8,827.11",13352
531,9370,$378.37,25519
532,26441,$60.91,9535
533,62124,$9.70,16840
534,9637,"$80,271.81",45654
535,61422,$94.50,14704
536,12388,"$4,382.40",87253
537,14942,"$2,228.88",64230
538,58809,$742.32,87729
539,56165,"$27,228.56",23095
540,60865,$68.28,45249
541,34303,$55.67,74456
542,44717,$483.96,59868
543,52339,"$9,596.24",2472
544,70619,$5.32,84785
545,48365,$910.04,26963
546,24567,"$11,717.53",37551
547,68031,"$92,020.36",23902
548,57624,$927.50,30973
549,21721,"$46,835.44",9052
550,14976,"$42,547.46",19351
551,6291,$7.94,77732
552,12388,$36.20,72891
553,53168,"$98,773.44",46279
554,26399,$532.49,43313
555,71641,$41.00,16986
556,63897,"$78,285.23",7325
557,34463,$704.46,50278
558,63062,"$4,048.21",26980
559,8012,$15.03,34044
560,23850,"$89,961.28",64021
561,31588,$79.55,57853
562,50876,"$7,253.32",74002
563,3586,"$67,745.40",70561
564,50876,$7.72,86951
565,34470,"$5,598.63",25070
566,61422,"$98,479.27",25889
567,5129,"$9,954.30",32224
568,63062,$0.36,86951
569,34473,$808.61,27447
570,12480,"$3,099.46",43169
571,34463,"$6,452.73",79555
572,17108,"$81,582.65",36527
573,6006,$493.45,25438
574,5757,"$1,630.15",87745
575,21196,$522.63,70625
576,38724,"$8,812.01",83763
577,58253,$0.08,87414
578,66202,"$9,008.08",87119
579,15931,$68.58,87119
580,15931,"$98,579.58",9384
581,33575,"$64,419.43",66692
582,15256,$14.57,86816
583,15256,"$30,665.96",51674
584,27428,"$3,047.55",26431
